Date,Day,Time of day,Macro Location,Township,Transit,Activities,Accomodation,Food,Note,
2026-09-16,Wednesday,Morning,Dolomites,Cortina d'Ampezzo,,Lake Sorapis,,,need convincing this is best hike,
2026-09-16,Wednesday,Noon,Dolomites,Cortina d'Ampezzo,,Lake Sorapis,,,,
2026-09-16,Wednesday,Afternoon,Dolomites,Cortina d'Ampezzo,,Lake Sorapis,,,,
2026-09-17,Thursday,Morning,Dolomites,Cortina d'Ampezzo,,,,,,
2026-09-17,Thursday,Noon,Dolomites,Cortina d'Ampezzo,,,,,,
2026-09-17,Thursday,Afternoon,Dolomites,Cortina d'Ampezzo,,,,,,
2026-09-18,Friday,Morning,Dolomites,Cortina d'Ampezzo,1 hr drive,Pragser Wildsee/Lago di Braies,,weak day - find alternatives in region,What needs booking: Parking space or Shuttle Bus ticket.,
2026-09-18,Friday,Noon,Dolomites,Cortina d'Ampezzo,,Pragser Wildsee/Lago di Braies,,"Once at Lago di Braies, rent a rowboat and/or walk the loop trail around the lake (3.7 km/2.3 miles). A visit to Lago di Braies lasts about 4 hours.

","Why: To manage overtourism, access to the lake is strictly regulated. During high-demand periods (typically July 10 to September 10, but restrictions and high crowds often extend through mid-to-late September), the road leading to the lake is closed to private vehicles from 9:30 AM to 4:00 PM. To drive there during these hours, you must pre-book a parking space online (e.g., at Parking P4). Alternatively, you must pre-book a shuttle bus ticket (Line 442 or 439) in advance. Without a pre-booked reservation, you will not be allowed to drive to the lake during peak hours.",
2026-09-18,Friday,Afternoon,Dolomites,Cortina d'Ampezzo,,<need stuff>,,Lago di Dobbiaco,"After lunch, continue the drive south on SS51. Along this drive, you can stop off at the viewpoint of Tre Cime (called Vista Panoramica Tre Cime di Lavaredo) for a view of the three peaks.",
2026-09-19,Saturday,Morning,Dolomites,Cortina d'Ampezzo,"transit day, 2 hr drive total",Lagazuoi,,,,
2026-09-19,Saturday,Noon,Dolomites,Lagazuoi,,Kaiserjäger Path/Open Air Muesuem,,WWI thing,,
2026-09-19,Saturday,Afternoon,Dolomites,Val Gardena,,check town?,,,,
2026-09-20,Sunday,Morning,Dolomites,Val Gardena,,Paragilding?,,St. Magdalena,,
2026-09-20,Sunday,Noon,Dolomites,Val Gardena,1 hr drive,Val di Funes,,add some stuff here?,,
2026-09-20,Sunday,Afternoon,Dolomites,Val Gardena,,Adolf-Munkel-Weg,,,,
2026-09-21,Monday,Morning,Dolomites,Val Gardena,,Seiser Alm,,,What needs booking: Cable Car tickets or Transit planning.,
2026-09-21,Monday,Noon,Dolomites,Val Gardena,30-1hr drive,Seiser Alm,,,"Why: The road leading up to Seiser Alm is closed to private traffic from 9:00 AM to 5:00 PM. You can only drive up during these hours if you are staying at a hotel located on the Alpe di Siusi and have a special driving permit. Otherwise, you must take the Seiser Alm Cableway (Seiser Alm Bahn) or public bus. While you can buy cable car tickets on-site, booking them online in advance is highly recommended to skip the ticket office lines.",https://www.moonhoneytravel.com/alpe-di-siusi-hike/
2026-09-21,Monday,Afternoon,Dolomites,Val Gardena,30-1hr drive,Castelrotto,,,,
2026-09-22,Tuesday,Morning,Dolomites,Val Gardena,,Seceda,,,Cable car reservation,
2026-09-22,Tuesday,Noon,Dolomites,Val Gardena,,Seceda,,,,
2026-09-22,Tuesday,Afternoon,Dolomites,Val Gardena,"Drive the Sella Pass and Passo Pordoi. Ride the cable car from Passo Pordoi for panoramic views of the Dolomites. From here, you have the option to add on the hike to Piz Boé (5.3 km/3.3 miles, 2 to 4 hours).",Urtijëi if time allows,,,,
2026-09-23,Wednesday,Morning,Dolomites,Val Gardena,,Marmolada,,<look into this and if this day is worth it>,Cable car reservation,
2026-09-23,Wednesday,Noon,Dolomites,Val Gardena,,Marmolada/Tunnel Via Ferreta,,,Cable car reservation,
2026-09-23,Wednesday,Afternoon,Dolomites,Val Gardena,,Sass Pordoi,,,,
2026-09-24,Thursday,Morning,Dolomites,Val Gardena,,Via Ferrata Piccolo?,,super slow day ,,
2026-09-24,Thursday,Noon,Dolomites,Val Gardena,,Urtijëi,,,,
2026-09-24,Thursday,Afternoon,Dolomites,Val Gardena,,,,,,
2026-09-25,Friday,Morning,Dolomites,,,Drive - 4 hours,,,,
2026-09-25,Friday,Noon,Venice,,,Drive/Flight,,,,
2026-09-25,Friday,Afternoon,Madrid,,,Flight,,,,
2026-09-26,Saturday,Morning,Madrid,,,Chill,,,,
2026-09-26,Saturday,Noon,Madrid,,,Chill,,,,
2026-09-26,Saturday,Afternoon,Madrid,,,Anyma,,,,
2026-09-27,Sunday,Morning,Madrid,,,Fly out,,,,
2026-09-27,Sunday,Noon,,,,Fly out,,,,
2026-09-27,Sunday,Afternoon,Canada,,,,,,,
